study_id,source,sheet,field,run1,run2,type,key,row,fields,check,status,detail,issue,field_or_row,explanation,suggested_fix,reviewer_decision,corrected_value
alajlouni-2020,consensus,study,Population,830 community-dwelling men aged 65 years or older from the Osteoporotic Fractures in Men (MrOS) USA Study who had suffered at least one low-trauma index fracture.,830 community-dwelling men aged 65 years or older with a low-trauma index fracture,,,,,,,,,,,,run2,
alajlouni-2020,consensus,study,First_Author,,Alajlouni,,,,,,,,,,,,run2,
alajlouni-2020,consensus,study,Quality_Notes,"Exclusion of men with missing data on muscle strength/performance (n=20 for grip strength, n=52 for gait speed, n=118 for chair stands) who were older, less healthy, and more likely to die, potentially impacting generalizability or introducing selection bias.",,,,,,,,,,,,,run1,
alajlouni-2020,consensus,study,Follow_up_Period,For subsequent fracture: median 3.7 years (IQR 1.3-8.1). For mortality: median 5.1 years (IQR 1.8-9.6).,Median 3.7 years for subsequent fracture; median 5.1 years for mortality,,,,,,,,,,,,,
alajlouni-2020,consensus,study,muscle_measurement_tool,"dynamometer, functional_test","dynamometer, gait_test, functional_test",,,,,,,,,,,,,
alajlouni-2020,consensus,study,Sarcopenia_Definition,"Not explicitly defined or used as an exposure variable; the study focused on individual components of muscle strength (grip strength) and physical performance (gait speed, chair stands time).","Not explicitly defined as a clinical diagnosis of sarcopenia; study assessed individual components (grip strength, gait speed, chair stands time) as continuous variables.",,,,,,,,,,,,,
alajlouni-2020,consensus,study,Time_Period,"The MrOS study commenced between 2000 and 2002. Index fractures occurred between 2000-2002 and 2019. Muscle strength and performance measurements were taken at clinical visits (2000-2002, 2005-2006, 2007-2009, 2014-2016), with index measurements taken within 5 years prior to the index fracture. Follow-up for subsequent fracture and mortality ended August 6, 2019.","Enrollment 2000-2002; follow-up until August 6, 2019",,,,,,,,,,,,,
alajlouni-2020,consensus,study,Fracture_Type,"Low-trauma index fractures, including hip, clinical vertebral, proximal, and distal fractures. No specific definition or grading method for vertebral fractures was provided.","Low-trauma fracture (hip, clinical vertebral, proximal, or distal)",,,,,,,,,,,,,
alajlouni-2020,consensus,study,Country,United States,USA,,,,,,,,,,,,,
alajlouni-2020,consensus,groups,,,,only_in_run1,['total'],"{'Group': 'Total', 'N': 830, 'Female_N': 0, 'Mean_Age': 81.7, 'SD_Age': 6.6, 'Median_Age': None, 'IQR_Age': None, 'Mean_BMI': None, 'SD_BMI': None, 'Age_Notes': None}",,,,,,,,,,
alajlouni-2020,consensus,muscle,,,,only_in_run1,"['dynamometer', 'grip strength', 'grip strength cohort (pre-index fracture)']","{'Modality': 'Dynamometer', 'Metric': 'Grip strength', 'Unit': 'kg', 'Group': 'Grip strength cohort (pre-index fracture)', 'N': 810, 'Value': 36.0, 'SD': None, 'IQR_Lower': 32.0, 'IQR_Upper': 42.0, 'Reporting_Format': 'median_iqr', 'Notes': 'pre-index fracture'}",,,,,,,,,,
alajlouni-2020,consensus,muscle,,,,only_in_run1,"['functional', 'gait speed', 'gait speed cohort (pre-index fracture)']","{'Modality': 'Functional', 'Metric': 'Gait speed', 'Unit': 'm/s', 'Group': 'Gait speed cohort (pre-index fracture)', 'N': 778, 'Value': 1.14, 'SD': None, 'IQR_Lower': 0.99, 'IQR_Upper': 1.32, 'Reporting_Format': 'median_iqr', 'Notes': 'pre-index fracture'}",,,,,,,,,,
alajlouni-2020,consensus,muscle,,,,only_in_run1,"['functional', 'chair stands time', 'chair stands cohort (pre-index fracture)']","{'Modality': 'Functional', 'Metric': 'Chair stands time', 'Unit': 'seconds', 'Group': 'Chair stands cohort (pre-index fracture)', 'N': 712, 'Value': 12.0, 'SD': None, 'IQR_Lower': 9.9, 'IQR_Upper': 14.5, 'Reporting_Format': 'median_iqr', 'Notes': 'pre-index fracture'}",,,,,,,,,,
alajlouni-2020,consensus,muscle,,,,only_in_run1,"['dynamometer', 'annualized rate of decline in grip strength', 'died']","{'Modality': 'Dynamometer', 'Metric': 'Annualized rate of decline in grip strength', 'Unit': '%', 'Group': 'Died', 'N': None, 'Value': 2.07, 'SD': None, 'IQR_Lower': 1.78, 'IQR_Upper': 2.45, 'Reporting_Format': 'median_iqr', 'Notes': 'relative to index measurement'}",,,,,,,,,,
alajlouni-2020,consensus,muscle,,,,only_in_run1,"['dynamometer', 'annualized rate of decline in grip strength', 'survived']","{'Modality': 'Dynamometer', 'Metric': 'Annualized rate of decline in grip strength', 'Unit': '%', 'Group': 'Survived', 'N': None, 'Value': 1.88, 'SD': None, 'IQR_Lower': 1.63, 'IQR_Upper': 2.15, 'Reporting_Format': 'median_iqr', 'Notes': 'relative to index measurement'}",,,,,,,,,,
alajlouni-2020,consensus,muscle,,,,only_in_run1,"['functional', 'annualized rate of decline in gait speed', 'died']","{'Modality': 'Functional', 'Metric': 'Annualized rate of decline in gait speed', 'Unit': '%', 'Group': 'Died', 'N': None, 'Value': 2.26, 'SD': None, 'IQR_Lower': 1.93, 'IQR_Upper': 2.6, 'Reporting_Format': 'median_iqr', 'Notes': 'relative to index measurement'}",,,,,,,,,,
alajlouni-2020,consensus,muscle,,,,only_in_run1,"['functional', 'annualized rate of decline in gait speed', 'survived']","{'Modality': 'Functional', 'Metric': 'Annualized rate of decline in gait speed', 'Unit': '%', 'Group': 'Survived', 'N': None, 'Value': 1.91, 'SD': None, 'IQR_Lower': 1.53, 'IQR_Upper': 2.25, 'Reporting_Format': 'median_iqr', 'Notes': 'relative to index measurement'}",,,,,,,,,,
alajlouni-2020,consensus,muscle,,,,only_in_run1,"['functional', 'annualized rate of increase in chair stands time', 'died']","{'Modality': 'Functional', 'Metric': 'Annualized rate of increase in chair stands time', 'Unit': '%', 'Group': 'Died', 'N': None, 'Value': 3.99, 'SD': None, 'IQR_Lower': 2.41, 'IQR_Upper': 5.68, 'Reporting_Format': 'median_iqr', 'Notes': 'relative to index measurement'}",,,,,,,,,,
alajlouni-2020,consensus,muscle,,,,only_in_run1,"['functional', 'annualized rate of increase in chair stands time', 'survived']","{'Modality': 'Functional', 'Metric': 'Annualized rate of increase in chair stands time', 'Unit': '%', 'Group': 'Survived', 'N': None, 'Value': 3.06, 'SD': None, 'IQR_Lower': 2.41, 'IQR_Upper': 5.68, 'Reporting_Format': 'median_iqr', 'Notes': 'relative to index measurement'}",,,,,,,,,,
alajlouni-2020,consensus,muscle,,,,only_in_run1,"['anthropometry', 'bmi', 'grip strength cohort']","{'Modality': 'Anthropometry', 'Metric': 'BMI', 'Unit': 'kg/m²', 'Group': 'Grip strength cohort', 'N': 810, 'Value': 26.9, 'SD': 4.1, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
alajlouni-2020,consensus,muscle,,,,only_in_run1,"['anthropometry', 'bmi', 'gait speed cohort']","{'Modality': 'Anthropometry', 'Metric': 'BMI', 'Unit': 'kg/m²', 'Group': 'Gait speed cohort', 'N': 778, 'Value': 26.9, 'SD': 4.0, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
alajlouni-2020,consensus,muscle,,,,only_in_run1,"['anthropometry', 'bmi', 'chair stands cohort']","{'Modality': 'Anthropometry', 'Metric': 'BMI', 'Unit': 'kg/m²', 'Group': 'Chair stands cohort', 'N': 712, 'Value': 26.8, 'SD': 3.9, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': None}",,,,,,,,,,
alajlouni-2020,consensus,muscle,,,,only_in_run1,"['functional', 'physical activity', 'grip strength cohort']","{'Modality': 'Functional', 'Metric': 'Physical activity', 'Unit': None, 'Group': 'Grip strength cohort', 'N': 810, 'Value': 125.0, 'SD': 70.7, 'IQR_Lower': None, 'IQR_Upper': None, 'Reporting_Format': 'mean_sd', 'Notes': 'Unit not specified in source text.'}",,,,,,,,,,
alajlouni-2020,consensus,muscle,,,,only_in_run2,"['dynamometer', 'grip_strength', 'total']","{'Modality': 'Dynamometer', 'Metric': 'Grip_strength', 'Unit': 'kg', 'Group': 'Total', 'N': 830, 'Value': 36, 'SD': None, 'IQR_Lower': 32, 'IQR_Upper': 42, 'Reporting_Format': 'median_iqr', 'Notes': 'Preindex fracture measurement'}",,,,,,,,,,
alajlouni-2020,consensus,muscle,,,,only_in_run2,"['functional', 'gait_speed', 'total']","{'Modality': 'Functional', 'Metric': 'Gait_speed', 'Unit': 'm/s', 'Group': 'Total', 'N': 830, 'Value': 1.14, 'SD': None, 'IQR_Lower': 0.99, 'IQR_Upper': 1.32, 'Reporting_Format': 'median_iqr', 'Notes': 'Preindex fracture measurement'}",,,,,,,,,,
alajlouni-2020,consensus,muscle,,,,only_in_run2,"['functional', 'chair_stands_time', 'total']","{'Modality': 'Functional', 'Metric': 'Chair_stands_time', 'Unit': 'sec', 'Group': 'Total', 'N': 830, 'Value': 12.0, 'SD': None, 'IQR_Lower': 9.9, 'IQR_Upper': 14.5, 'Reporting_Format': 'median_iqr', 'Notes': 'Preindex fracture measurement'}",,,,,,,,,,
alajlouni-2020,consensus,muscle,,,,only_in_run2,"['dynamometer', 'grip_strength', 'died']","{'Modality': 'Dynamometer', 'Metric': 'Grip_strength', 'Unit': '%', 'Group': 'Died', 'N': None, 'Value': 2.07, 'SD': None, 'IQR_Lower': 1.78, 'IQR_Upper': 2.45, 'Reporting_Format': 'median_iqr', 'Notes': 'Annual rate of decline'}",,,,,,,,,,
alajlouni-2020,consensus,muscle,,,,only_in_run2,"['dynamometer', 'grip_strength', 'survived']","{'Modality': 'Dynamometer', 'Metric': 'Grip_strength', 'Unit': '%', 'Group': 'Survived', 'N': None, 'Value': 1.88, 'SD': None, 'IQR_Lower': 1.63, 'IQR_Upper': 2.15, 'Reporting_Format': 'median_iqr', 'Notes': 'Annual rate of decline'}",,,,,,,,,,
alajlouni-2020,consensus,muscle,,,,only_in_run2,"['functional', 'gait_speed', 'died']","{'Modality': 'Functional', 'Metric': 'Gait_speed', 'Unit': '%', 'Group': 'Died', 'N': None, 'Value': 2.26, 'SD': None, 'IQR_Lower': 1.93, 'IQR_Upper': 2.6, 'Reporting_Format': 'median_iqr', 'Notes': 'Annual rate of decline'}",,,,,,,,,,
alajlouni-2020,consensus,muscle,,,,only_in_run2,"['functional', 'gait_speed', 'survived']","{'Modality': 'Functional', 'Metric': 'Gait_speed', 'Unit': '%', 'Group': 'Survived', 'N': None, 'Value': 1.91, 'SD': None, 'IQR_Lower': 1.53, 'IQR_Upper': 2.25, 'Reporting_Format': 'median_iqr', 'Notes': 'Annual rate of decline'}",,,,,,,,,,
alajlouni-2020,consensus,muscle,,,,only_in_run2,"['functional', 'chair_stands_time', 'died']","{'Modality': 'Functional', 'Metric': 'Chair_stands_time', 'Unit': '%', 'Group': 'Died', 'N': None, 'Value': 3.99, 'SD': None, 'IQR_Lower': 2.41, 'IQR_Upper': 5.68, 'Reporting_Format': 'median_iqr', 'Notes': 'Annual rate of increase'}",,,,,,,,,,
alajlouni-2020,consensus,muscle,,,,only_in_run2,"['functional', 'chair_stands_time', 'survived']","{'Modality': 'Functional', 'Metric': 'Chair_stands_time', 'Unit': '%', 'Group': 'Survived', 'N': None, 'Value': 3.06, 'SD': None, 'IQR_Lower': 2.41, 'IQR_Upper': 5.68, 'Reporting_Format': 'median_iqr', 'Notes': 'Annual rate of increase'}",,,,,,,,,,
alajlouni-2020,consensus,bmd,,,,only_in_run1,"['grip strength cohort (n = 810)', 't-score femoral neck']","{'Group': 'Grip strength cohort (n = 810)', 'Mean_BMD': -1.19, 'SD_BMD': 1.04, 'Method_BMD': 'T-score Femoral Neck', 'Notes': None}",,,,,,,,,,
alajlouni-2020,consensus,bmd,,,,only_in_run1,"['gait speed cohort (n = 778)', 't-score femoral neck']","{'Group': 'Gait speed cohort (n = 778)', 'Mean_BMD': -1.16, 'SD_BMD': 1.02, 'Method_BMD': 'T-score Femoral Neck', 'Notes': None}",,,,,,,,,,
alajlouni-2020,consensus,bmd,,,,only_in_run1,"['chair stands cohort (n = 712)', 't-score femoral neck']","{'Group': 'Chair stands cohort (n = 712)', 'Mean_BMD': -1.17, 'SD_BMD': 1.0, 'Method_BMD': 'T-score Femoral Neck', 'Notes': None}",,,,,,,,,,
alajlouni-2020,consensus,bmd,,,,only_in_run2,"['grip strength cohort', 'fn bmd t-score']","{'Group': 'Grip strength cohort', 'Mean_BMD': -1.19, 'SD_BMD': 1.04, 'Method_BMD': 'FN BMD T-score', 'Notes': None}",,,,,,,,,,
alajlouni-2020,consensus,bmd,,,,only_in_run2,"['gait speed cohort', 'fn bmd t-score']","{'Group': 'Gait speed cohort', 'Mean_BMD': -1.16, 'SD_BMD': 1.02, 'Method_BMD': 'FN BMD T-score', 'Notes': None}",,,,,,,,,,
alajlouni-2020,consensus,bmd,,,,only_in_run2,"['chair stands cohort', 'fn bmd t-score']","{'Group': 'Chair stands cohort', 'Mean_BMD': -1.17, 'SD_BMD': 1.0, 'Method_BMD': 'FN BMD T-score', 'Notes': None}",,,,,,,,,,
alajlouni-2020,consensus,or,,,,only_in_run1,"['mortality', 'each sd decline in grip strength (annualized deterioration)', 'multivariable']","{'Outcome': 'Mortality', 'Predictor': 'Each SD decline in grip strength (annualized deterioration)', 'Analysis': 'Multivariable', 'Effect': 1.15, 'CI_Lower': 1.01, 'CI_Upper': 1.33, 'P_Value': None, 'Covariates': 'Age, index grip strength, other covariates', 'Notes': 'HR not OR, per SD decline'}",,,,,,,,,,
alajlouni-2020,consensus,or,,,,only_in_run1,"['mortality', 'each sd decline in gait speed (annualized deterioration)', 'multivariable']","{'Outcome': 'Mortality', 'Predictor': 'Each SD decline in gait speed (annualized deterioration)', 'Analysis': 'Multivariable', 'Effect': 1.38, 'CI_Lower': 1.13, 'CI_Upper': 1.68, 'P_Value': None, 'Covariates': 'Age, index gait speed, other covariates', 'Notes': 'HR not OR, per SD decline'}",,,,,,,,,,
alajlouni-2020,consensus,or,,,,only_in_run1,"['mortality', 'each sd increase in chair stand time (annualized deterioration)', 'multivariable']","{'Outcome': 'Mortality', 'Predictor': 'Each SD increase in chair stand time (annualized deterioration)', 'Analysis': 'Multivariable', 'Effect': 1.28, 'CI_Lower': 1.07, 'CI_Upper': 1.54, 'P_Value': None, 'Covariates': 'Age, index chair stands time, other covariates', 'Notes': 'HR not OR, per SD increase'}",,,,,,,,,,
alajlouni-2020,consensus,or,,,,field_mismatch,"['mortality', 'index grip strength', 'multivariable']",,"[{'field': 'Covariates', 'run1': 'Age, annual rate of decline in grip strength, other covariates', 'run2': 'Age, annual rate of decline'}, {'field': 'Notes', 'run1': 'HR not OR', 'run2': 'HR'}]",,,,,,,,,
alajlouni-2020,consensus,or,,,,field_mismatch,"['mortality', 'index gait speed', 'multivariable']",,"[{'field': 'Covariates', 'run1': 'Age, annual rate of decline in gait speed, other covariates', 'run2': 'Age, annual rate of decline'}, {'field': 'Notes', 'run1': 'HR not OR', 'run2': 'HR'}]",,,,,,,,,
alajlouni-2020,consensus,or,,,,only_in_run1,"['mortality', 'index chair stands measurement', 'multivariable']","{'Outcome': 'Mortality', 'Predictor': 'Index chair stands measurement', 'Analysis': 'Multivariable', 'Effect': 0.84, 'CI_Lower': 0.66, 'CI_Upper': 1.06, 'P_Value': None, 'Covariates': 'Age, annual rate of increase in chair stands time, other covariates', 'Notes': 'HR not OR'}",,,,,,,,,,
